Player 1,Player 2,Result,Player 1 First,Timestamp
Negamax4 P8 T0.025,Negamax4 P4 T0.1,Player 2 Win,True,2025-03-08 18:25:49.792238
Negamax4 P4 T0.1,Negamax4 P8 T0.025,Draw,True,2025-03-08 18:25:54.508702
Negamax5 P4 T0.01,Negamax5 P8,Player 1 Win,True,2025-03-08 18:25:55.195989
Negamax5 P8,Negamax5 P4 T0.01,Player 2 Win,True,2025-03-08 18:25:55.817772
Negamax5B P8 T0.01,Negamax3 P1,Player 1 Win,True,2025-03-08 18:25:55.966129
Negamax3 P1,Negamax5B P8 T0.01,Player 2 Win,True,2025-03-08 18:25:56.050277
Negamax4 P4 T0.01,Negamax5 P6 T0.025,Player 2 Win,True,2025-03-08 18:25:56.842325
Negamax5 P6 T0.025,Negamax4 P4 T0.01,Player 1 Win,True,2025-03-08 18:25:57.322532
Negamax4 P10 T0.025,Negamax5 P6 T0.1,Player 2 Win,True,2025-03-08 18:26:14.175341
Negamax5 P6 T0.1,Negamax4 P10 T0.025,Draw,True,2025-03-08 18:26:33.675801
Negamax5B P12,Negamax5 P12,Player 1 Win,True,2025-03-08 18:26:54.448000
Negamax5 P12,Negamax5B P12,Player 2 Win,True,2025-03-08 18:27:15.939151
Negamax4 P8,Neural Bot winner_1gen1000.pkl,Player 1 Win,True,2025-03-08 18:27:16.401550
Neural Bot winner_1gen1000.pkl,Negamax4 P8,Player 2 Win,True,2025-03-08 18:27:17.152656
Neural Bot genomes/winner3_gen1000.pkl,Negamax4 P10 T0.25,Player 2 Win,True,2025-03-08 18:27:23.496874
Negamax4 P10 T0.25,Neural Bot genomes/winner3_gen1000.pkl,Player 1 Win,True,2025-03-08 18:27:29.461990
Negamax5B P4 T0.1,Negamax P4,Player 1 Win,True,2025-03-08 18:27:30.985597
Negamax P4,Negamax5B P4 T0.1,Player 2 Win,True,2025-03-08 18:27:32.241313
Negamax5B P6 T0.1,Negamax4 P6 T0.25,Player 1 Win,True,2025-03-08 18:27:38.476620
Negamax4 P6 T0.25,Negamax5B P6 T0.1,Player 2 Win,True,2025-03-08 18:27:44.744514
Negamax5 P4 T0.1,Neural Bot genomes/winner2_gen1200.pkl,Player 1 Win,True,2025-03-08 18:27:44.978700
Neural Bot genomes/winner2_gen1200.pkl,Negamax5 P4 T0.1,Player 1 Win,True,2025-03-08 18:27:46.358564
Negamax5B P12 T0.25,Negamax4 P6,Player 1 Win,True,2025-03-08 18:27:53.495684
Negamax4 P6,Negamax5B P12 T0.25,Player 2 Win,True,2025-03-08 18:28:01.852544
Negamax5B P8 T0.1,Negamax P6,Player 1 Win,True,2025-03-08 18:28:04.759062
Negamax P6,Negamax5B P8 T0.1,Player 2 Win,True,2025-03-08 18:28:07.901249
Negamax2 P8,Negamax5B P10 T0.25,Player 2 Win,True,2025-03-08 18:28:13.161983
Negamax5B P10 T0.25,Negamax2 P8,Player 1 Win,True,2025-03-08 18:28:18.295568
Negamax5B P4 T0.025,Negamax5B P12 T0.025,Player 1 Win,True,2025-03-08 18:28:27.914149
Negamax5B P12 T0.025,Negamax5B P4 T0.025,Player 1 Win,True,2025-03-08 18:28:36.511518
Negamax5B P10 T0.1,Negamax5B P6 T0.25,Player 2 Win,True,2025-03-08 18:28:42.729682
Negamax5B P6 T0.25,Negamax5B P10 T0.1,Player 1 Win,True,2025-03-08 18:28:49.615452
Negamax5B P4 T0.01,Negamax4 P8 T0.25,Player 1 Win,True,2025-03-08 18:28:54.638415
Negamax4 P8 T0.25,Negamax5B P4 T0.01,Draw,True,2025-03-08 18:29:00.835440
Negamax5 P6 T0.25,Negamax5B P4 T0.25,Player 2 Win,True,2025-03-08 18:29:09.397871
Negamax5B P4 T0.25,Negamax5 P6 T0.25,Player 2 Win,True,2025-03-08 18:29:18.629168
Negamax5 P10 T0.025,Negamax5 P8 T0.01,Draw,True,2025-03-08 18:29:24.114851
Negamax5 P8 T0.01,Negamax5 P10 T0.025,Player 1 Win,True,2025-03-08 18:29:26.946772
Negamax5B P10 T0.025,Negamax5B P8 T0.25,Player 2 Win,True,2025-03-08 18:29:32.171119
Negamax5B P8 T0.25,Negamax5B P10 T0.025,Player 1 Win,True,2025-03-08 18:29:38.132320
Negamax5B P10,Negamax5B P6 T0.025,Draw,True,2025-03-08 18:29:40.300422
Negamax5B P6 T0.025,Negamax5B P10,Draw,True,2025-03-08 18:29:42.527918
Negamax5B P12 T0.01,Negamax3 P8,Player 1 Win,True,2025-03-08 18:29:48.254391
Negamax3 P8,Negamax5B P12 T0.01,Player 1 Win,True,2025-03-08 18:30:04.751524
Negamax5B P8 T0.025,Negamax4 P4 T0.1,Player 1 Win,True,2025-03-08 18:30:07.730884
Negamax4 P4 T0.1,Negamax5B P8 T0.025,Player 2 Win,True,2025-03-08 18:30:10.249737
Negamax5 P4 T0.01,Negamax5B P8 T0.01,Player 2 Win,True,2025-03-08 18:30:10.839209
Negamax5B P8 T0.01,Negamax5 P4 T0.01,Draw,True,2025-03-08 18:30:11.418265
Negamax5 P6 T0.025,Negamax5 P6 T0.1,Player 2 Win,True,2025-03-08 18:30:13.319554
Negamax5 P6 T0.1,Negamax5 P6 T0.025,Player 2 Win,True,2025-03-08 18:30:15.231667
Negamax5B P12,Negamax4 P8,Player 1 Win,True,2025-03-08 18:30:25.270117
Negamax4 P8,Negamax5B P12,Player 2 Win,True,2025-03-08 18:30:35.197870
Negamax4 P10 T0.25,Negamax5B P4 T0.1,Player 2 Win,True,2025-03-08 18:30:43.972411
Negamax5B P4 T0.1,Negamax4 P10 T0.25,Player 1 Win,True,2025-03-08 18:30:54.043858
Negamax5B P6 T0.1,Neural Bot genomes/winner2_gen1200.pkl,Player 1 Win,True,2025-03-08 18:30:55.477908
Neural Bot genomes/winner2_gen1200.pkl,Negamax5B P6 T0.1,Player 2 Win,True,2025-03-08 18:30:57.047742
Negamax5B P12 T0.25,Negamax5B P8 T0.1,Player 2 Win,True,2025-03-08 18:31:09.714730
Negamax5B P8 T0.1,Negamax5B P12 T0.25,Player 1 Win,True,2025-03-08 18:31:23.090127
Negamax5B P10 T0.25,Negamax5B P12 T0.025,Player 1 Win,True,2025-03-08 18:31:36.126956
Negamax5B P12 T0.025,Negamax5B P10 T0.25,Player 2 Win,True,2025-03-08 18:31:47.614637
Negamax5B P6 T0.25,Negamax5B P4 T0.01,Player 1 Win,True,2025-03-08 18:31:52.141322
