match_participant_1,match_participant_2,game_in_match_id,player_O,player_X,winner,moves,time_seconds,game_global_id
Negamax4 P8 T0.1,gpt4o P4 T0.1,1,gpt4o P4 T0.1,Negamax4 P8 T0.1,gpt4o P4 T0.1,31,2.553968667984009,125
Gemini2.5 Pro P4 T0.025,Negamax5 P8 T0.1,0,Negamax5 P8 T0.1,Gemini2.5 Pro P4 T0.025,Negamax5 P8 T0.1,13,0.39499950408935547,126
Gemini2.5 Pro P4 T0.025,Negamax5 P8 T0.1,1,Gemini2.5 Pro P4 T0.025,Negamax5 P8 T0.1,Negamax5 P8 T0.1,22,1.2409982681274414,127
Gemini2.5 Pro P6 T0.1,gemini-flash-2.0 P2,0,gemini-flash-2.0 P2,Gemini2.5 Pro P6 T0.1,gemini-flash-2.0 P2,35,1.1979985237121582,128
Gemini2.5 Pro P6 T0.1,gemini-flash-2.0 P2,1,Gemini2.5 Pro P6 T0.1,gemini-flash-2.0 P2,Gemini2.5 Pro P6 T0.1,21,0.9399991035461426,129
Negamax5B P8 T0.01,gemini-pro-2.0 P6,0,Negamax5B P8 T0.01,gemini-pro-2.0 P6,draw,42,1.865997552871704,130
Negamax5B P8 T0.01,gemini-pro-2.0 P6,1,gemini-pro-2.0 P6,Negamax5B P8 T0.01,Negamax5B P8 T0.01,34,2.960996389389038,131
Negamax5 P4 T0.01,Negamax5 P6 T0.025,0,Negamax5 P4 T0.01,Negamax5 P6 T0.025,Negamax5 P6 T0.025,16,0.10100007057189941,132
Negamax5 P4 T0.01,Negamax5 P6 T0.025,1,Negamax5 P6 T0.025,Negamax5 P4 T0.01,Negamax5 P6 T0.025,29,0.14899969100952148,133
Gemini2.5 Pro P1,Negamax5 P10 T0.025,0,Negamax5 P10 T0.025,Gemini2.5 Pro P1,Negamax5 P10 T0.025,25,6.281992673873901,134
Gemini2.5 Pro P1,Negamax5 P10 T0.025,1,Gemini2.5 Pro P1,Negamax5 P10 T0.025,Negamax5 P10 T0.025,16,5.097116947174072,135
Negamax4 P8 T0.1,QwQ P2,0,Negamax4 P8 T0.1,QwQ P2,QwQ P2,34,0.7819991111755371,136
Negamax4 P8 T0.1,QwQ P2,1,QwQ P2,Negamax4 P8 T0.1,QwQ P2,37,1.6140813827514648,137
gemini-flash-2.0 P2,gpt4o P8,0,gpt4o P8,gemini-flash-2.0 P2,gpt4o P8,11,3.808995246887207,138
gemini-flash-2.0 P2,gpt4o P8,1,gemini-flash-2.0 P2,gpt4o P8,gpt4o P8,26,7.822989463806152,139
Negamax P6,Negamax3 P6,0,Negamax P6,Negamax3 P6,Negamax P6,39,3.509995698928833,140
Negamax P6,Negamax3 P6,1,Negamax3 P6,Negamax P6,draw,42,3.9689950942993164,141
Negamax5B P10 T0.01,o1 P1,0,Negamax5B P10 T0.01,o1 P1,Negamax5B P10 T0.01,21,3.1239962577819824,142
Negamax5B P10 T0.01,o1 P1,1,o1 P1,Negamax5B P10 T0.01,Negamax5B P10 T0.01,30,3.554995536804199,143
Negamax5B P4 T0.01,gemini-pro-2.0 P4,0,Negamax5B P4 T0.01,gemini-pro-2.0 P4,Negamax5B P4 T0.01,39,0.269000768661499,144
Negamax5B P4 T0.01,gemini-pro-2.0 P4,1,gemini-pro-2.0 P4,Negamax5B P4 T0.01,Negamax5B P4 T0.01,42,0.3249986171722412,145
claude3.7-sonnet-thinking P1,o3-mini-high-search I3000,0,o3-mini-high-search I3000,claude3.7-sonnet-thinking P1,claude3.7-sonnet-thinking P1,16,2.438997268676758,146
claude3.7-sonnet-thinking P1,o3-mini-high-search I3000,1,claude3.7-sonnet-thinking P1,o3-mini-high-search I3000,claude3.7-sonnet-thinking P1,17,2.1379971504211426,147
Negamax4 P10,Negamax5B P1,0,Negamax4 P10,Negamax5B P1,Negamax4 P10,13,6.103992700576782,148
Negamax4 P10,Negamax5B P1,1,Negamax5B P1,Negamax4 P10,Negamax4 P10,18,7.2329912185668945,149
Negamax5 P1,Negamax5 P6 T0.025,0,Negamax5 P1,Negamax5 P6 T0.025,Negamax5 P6 T0.025,16,0.13899993896484375,150
Negamax5 P1,Negamax5 P6 T0.025,1,Negamax5 P6 T0.025,Negamax5 P1,Negamax5 P6 T0.025,23,0.13699960708618164,151
Negamax P4,Negamax5 P6 T0.01,0,Negamax P4,Negamax5 P6 T0.01,Negamax5 P6 T0.01,32,0.3119997978210449,152
Negamax P4,Negamax5 P6 T0.01,1,Negamax5 P6 T0.01,Negamax P4,Negamax5 P6 T0.01,29,0.27299976348876953,153
Negamax4 P4,o4-mini-high P12,0,Negamax4 P4,o4-mini-high P12,o4-mini-high P12,34,11.268105506896973,154
Negamax4 P4,o4-mini-high P12,1,o4-mini-high P12,Negamax4 P4,o4-mini-high P12,23,4.22099494934082,155
Negamax5B P4 T0.01,o3 P10,0,Negamax5B P4 T0.01,o3 P10,Negamax5B P4 T0.01,17,2.594996690750122,156
Negamax5B P4 T0.01,o3 P10,1,o3 P10,Negamax5B P4 T0.01,Negamax5B P4 T0.01,38,9.232988834381104,157
Negamax2 P8,claude3.7-sonnet P10,0,Negamax2 P8,claude3.7-sonnet P10,claude3.7-sonnet P10,20,6.400111436843872,158
Negamax2 P8,claude3.7-sonnet P10,1,claude3.7-sonnet P10,Negamax2 P8,Negamax2 P8,36,9.625988006591797,159
Gemma2 P1,o4-mini-high P1,0,Gemma2 P1,o4-mini-high P1,Gemma2 P1,23,0.0030002593994140625,160
Gemma2 P1,o4-mini-high P1,1,o4-mini-high P1,Gemma2 P1,Gemma2 P1,22,0.0030002593994140625,161
LeChat P6,QwQ P2,0,LeChat P6,QwQ P2,QwQ P2,34,0.3659994602203369,162
LeChat P6,QwQ P2,1,QwQ P2,LeChat P6,LeChat P6,34,0.34400010108947754,163
claude3.7-sonnet-thinking P4,gpt4o P4,0,gpt4o P4,claude3.7-sonnet-thinking P4,gpt4o P4,23,5.06999397277832,164
claude3.7-sonnet-thinking P4,gpt4o P4,1,claude3.7-sonnet-thinking P4,gpt4o P4,gpt4o P4,40,10.286987543106079,165
Negamax5 P4 T0.025,QwQ P6,0,Negamax5 P4 T0.025,QwQ P6,QwQ P6,32,7.628990888595581,166
Negamax5 P4 T0.025,QwQ P6,1,QwQ P6,Negamax5 P4 T0.025,QwQ P6,27,7.784990549087524,167
Negamax P6,Negamax5B P10,0,Negamax P6,Negamax5B P10,Negamax5B P10,34,8.113990306854248,168
Negamax P6,Negamax5B P10,1,Negamax5B P10,Negamax P6,Negamax5B P10,33,5.302993297576904,169
gemini-flash-2.0 P1,r1 T0.5,0,r1 T0.5,gemini-flash-2.0 P1,r1 T0.5,33,8.513991117477417,170
gemini-flash-2.0 P1,r1 T0.5,1,gemini-flash-2.0 P1,r1 T0.5,r1 T0.5,28,7.01499080657959,171
Negamax5B P6,gpt4o P10,0,Negamax5B P6,gpt4o P10,gpt4o P10,34,7.921989440917969,172
Negamax5B P6,gpt4o P10,1,gpt4o P10,Negamax5B P6,Negamax5B P6,42,9.33198881149292,173
Negamax4 P4 T0.1,o3-mini-high-search I6000,0,Negamax4 P4 T0.1,o3-mini-high-search I6000,Negamax4 P4 T0.1,7,1.074998378753662,174
Negamax4 P4 T0.1,o3-mini-high-search I6000,1,o3-mini-high-search I6000,Negamax4 P4 T0.1,Negamax4 P4 T0.1,26,3.5659961700439453,175
Negamax4 P1,Negamax5 P10,0,Negamax4 P1,Negamax5 P10,Negamax5 P10,10,4.2689948081970215,176
Negamax4 P1,Negamax5 P10,1,Negamax5 P10,Negamax4 P1,Negamax5 P10,23,7.5949907302856445,177
Negamax P1,o3-mini-high P1,0,Negamax P1,o3-mini-high P1,Negamax P1,25,0.00599980354309082,178
Negamax P1,o3-mini-high P1,1,o3-mini-high P1,Negamax P1,Negamax P1,22,0.0060002803802490234,179
Gemma2 P6,gpt4o P8 T0.01,0,gpt4o P8 T0.01,Gemma2 P6,gpt4o P8 T0.01,21,1.3181142807006836,180
Gemma2 P6,gpt4o P8 T0.01,1,Gemma2 P6,gpt4o P8 T0.01,gpt4o P8 T0.01,26,1.9388821125030518,181
LeChat P8,Negamax5 P4 T0.025,0,Negamax5 P4 T0.025,LeChat P8,LeChat P8,36,2.3889968395233154,182
LeChat P8,Negamax5 P4 T0.025,1,LeChat P8,Negamax5 P4 T0.025,LeChat P8,19,2.8559963703155518,183
Gemini2.5 Flash Thinking P4,Negamax4 P8,0,Negamax4 P8,Gemini2.5 Flash Thinking P4,Negamax4 P8,19,1.3839993476867676,184
Gemini2.5 Flash Thinking P4,Negamax4 P8,1,Gemini2.5 Flash Thinking P4,Negamax4 P8,Gemini2.5 Flash Thinking P4,35,1.5289976596832275,185
Gemini2.5 Flash Thinking P4,Negamax P6,0,Negamax P6,Gemini2.5 Flash Thinking P4,Negamax P6,7,1.333998441696167,186
Gemini2.5 Flash Thinking P4,Negamax P6,1,Gemini2.5 Flash Thinking P4,Negamax P6,draw,42,4.213994979858398,187
Gemma2 P4,Negamax5 P10 T0.025,0,Negamax5 P10 T0.025,Gemma2 P4,Negamax5 P10 T0.025,23,11.399986505508423,188
Gemma2 P4,Negamax5 P10 T0.025,1,Gemma2 P4,Negamax5 P10 T0.025,Negamax5 P10 T0.025,8,2.169996976852417,189
Negamax3 P2,gpt4o P4 T0.01,0,Negamax3 P2,gpt4o P4 T0.01,gpt4o P4 T0.01,20,0.16199994087219238,190
